review_text,name,author_clean,star_rating,negative,neutral,positive,compound,sentiment,predicted_label,confidence_score
"Gladwell argues that success is tightly married to opportunity and time on task. He states that it takes approximately 10,000 hours to master something and that gives me comfort. It helps me feel better about my many failures at initial attempts to master things (like glazing pottery, algebra, Salsa dancing, skiing and sewing... to name a few). I kept thinking, ""I've just got to put in more hours if I want to do better."" While I can see a different way of spinning the data provided to support Gladwell's argument, I didn't care. In a rare moment, I found myself not wanting to argue. : ) Instead, I found myself reflecting on things that have felt like lucky opportunities in my own life. This reflection was very humbling. Moreover, I felt the text tugging at the need for greater equity. What could all the people with limited opportunities do if given greater opportunities? Think Darfur. How many people who might have come up with the cure for pancreatic cancer been forced to spend their time standing in lines waiting for clean water or food? My own personal experience as a teacher of refugees reflects Gladwell's primary thesis. Many of my refugee students are pre-literate. They have not been given the opportunity to gain a formal education. As a result, there are many well-intended, but misinformed people who place these students in special education courses or deem their I.Q. low, diminishing their opportunities even more. The students I teach are hungry for skills and spend hours outside of class practicing. They make huge gains despite earlier opportunities denied them. While many will not go on to big colleges out of high school, I feel like given enough opportunity and time they could make it there. Sadly, many have families who depend on them to work to help financially support the family. (Yet, another limited opportunity to spend time focused on developing skills.) In the past week, I have shared Gladwell's thesis with my students. We have applied the 10,000 hours to master a task to reading and writing. I remind students that if we don't get our 10,000 hours this year together, they must continue on their own. I remind them that it IS possible to move forward if they are focused and keep adding hours of work to their reading and writing. We even write on the board how many hours left before we are masters. ""2 hours down, only 9,998 left to go.""Friday, I had a student from Somalia smile and ask, ""So it's not true that white people are smarter than black Africans? They just get more chances to read?"" Imagine my pleasure when I could respond, ""YES! That's correct. You are just as smart as any white kid in this school. It's just that some of them have been reading for years and you are just getting started."" Thank you for your work Galdwell, it is salient in today's political conversation surrounding education (especially for our most vulnerable students who have been given the fewest opportunities).",Outliers: by Malcolm Gladwell | The Story of Success | Summary & Takeaways,Malcolm Gladwell,5.0,0.056,0.759,0.185,0.9967,Positive,Very Helpful,0.7512154579162598
"When I think about Malcolm Gladwell, the first phrase that comes to mind is ""less than meets the eye."" At first glance, his work seems thoroughly researched, even visionary at times. Beginning with a few maverick, counter-intuitive insights, he often ends with an affirmation of consensus, but it is a consensus that has been broadened by investigation and enriched by nuance.On second look, however, I'm no longer sure any of this is true. What first appeared to be new insights are nothing but familiar landmarks, previously unrecognizable because of the adoption of a deliberately mannered perspective; even the once apparent breadth and nuance now seem triumphs of language over logic, the apparent inevitability of his arguments an illusion conjured by the spell of his limpid prose.Take one small example from ""Outliers."" With a flurry of standardized test statistics, Gladwell makes the case that the traditional summer vacation--however rewarding it may be for the middle class--is just not working for the poor. (I'll concede the point, for the sake of argument, but any high school teacher will tell you how suspect conclusions drawn from such statistics can be.) He then presents a sustained anecdote about a successful all-year-round secondary school in a poor neighborhood. His conclusion? We should go to school year round. Sounds reasonable, right? But what about a more obvious solution: as a society we could decide to work together so that summer can be a learning experience for the poor by instituting a myriad of basketball camps, music camps, art camps, chess camps, traditional summer camps, etc., held at schools, community centers, and city parks, and staffed by college students, artists and teachers from the neighborhood. Gladwell often reminds me of the last panel of a Dilbert cartoon: two panels of plain-speaking criticism, followed by one panel of resignation. And no real insight, no real hope for the future.",Outliers: by Malcolm Gladwell | The Story of Success | Summary & Takeaways,Malcolm Gladwell,2.0,0.108,0.805,0.087,-0.7551,Negative,Somewhat Harmful,0.5131129622459412
"I know, you don’t think you have the time and there are other and more important books to read at the moment, but be warned, you do need to read this book.There are a number of ways I can tell a book will be good; one of those ways is if Graham has recommended it to me (how am I going to cope without our lunches together, mate?). And there is basically one way for me to I know that I’ve really enjoyed a book, and that is if I keep telling people about it over and over again. Well, not since Predictably Irrational  (also recommended to me by Graham) have I gone on and on about a book to people. First to Ruth over lunch, then to mum on the phone, and then the kids after they had just gotten out of bed in the early hours of the afternoon – my poor children, I’ve told them virtually the entire book.Now it is your turn.As a culture we tend to believe that people who are successful (people like Mozart, Bill Gates, The Beatles) all are ‘self-made-men’ and have risen to the summit of achievement on the basis of some incredibly special power they have and that we do not. It is a comforting thought, in some ways. If we have not done as well we are hardly to blame, because we just didn’t have that certain something. We don’t have the thing that sets them people apart from the crowd. And in this cult of celebrity we even get a chance to live vicariously in the reflection of their glory. Perhaps we can never all be Lady Di, (at least, not in public) but we can all attempt suicide with a pate knife and get into colonic irrigation. John Safran talks somewhere about a guy he knows saying to him that the only reason John made it and he didn’t was because John was Jewish. John then talks about how much hard work he had to put in to becoming successful, none of which relied on the mythical leg up he would have gotten from some secret Jewish conspiracy. This book isn’t about Lady Di, but it is about a series of biographies of people who have become incredibly successful. The biographies are generally told twice. The first time in a way that confirms all our prejudices about self made men and then in a way that makes sense of the success in ways we may find much more uncomfortable. I really struggled with this book – I loved every minute of it, but I still felt remarkably challenged by it. It was very hard not to think of my own life while reading this book. And this did not make me feel comfortable.I guess we are all fairly predictable, and one of the things that makes us especially predictable is that we generally like to have our prejudices confirmed. We buy books that tell us over and over again what we already know and believe. The Left Behind series is just one such example, as are most self help books. And I’m as guilty of this as anyone else. But there is a much better sensation we can get from a book, although this is much more rare. It is when the person you are reading starts telling you the deeper reasons why your beliefs are valid and not just based on prejudice. I have always believed talent is another (although, less apparent and all too vague) word for hard work. I’ve also believed that we are products of a range of different variables too complex to know in any real detail. This book confirms those prejudices.First he talks about ice hockey and a fascinating fact about the birthdays of the best players. They are all born at around the same time of the year. It is as if there is a cut off date for when you will be a professional ice hockey player – and, in fact, there is. The short version is that if you are born on the wrong side of the date they use to group kids into age levels you are likely to be a year younger than the other kids you are playing ice hockey with and therefore a year smaller than them too. That is going to make them look like they are better players than you are – and they will be too. A year at 10 is a huge difference, a huge advantage. And then we compound that advantage, by giving the older kids more practice, more experience in games and then more experience and more practice until there is no way the kid who happened to be born on the wrong side of the cut off date has any chance of catching up.The point he makes strongly here and repeatedly in the first part of the book is that there are other factors to success that are more than just ‘natural ability’. In fact, he does not believe in ‘natural ability’ – only in effort and time. Essentially he shows that if you put in 10,000 hours on any task you will be highly proficient at that task. Innate ability does not exist and ability is actually a function of effort expended. This is both liberating and incredibly challenging. Liberating because success is related to the effort you put in (and I think you should believe that is true even if it isn’t – it is the myth of Sisyphus, the only way we can really cope with the world is to believe our efforts have meaning). Challenging, because ultimately we are responsible for our own success as we are directly responsible for how much effort we are prepared to put in.The second great theme of this book is that where you come from matters. The culture that we are from has a remarkable impact on the rest of our lives. For example, if you are from a working class background you are much less likely to approach life with an attitude of ‘entitlement’. When people in authority speak to you, you are probably less likely to question them. In fact, you might believe you should defer to them. You are probably more likely to believe rules exist for a reason and that rules can’t be changed and can’t be moved. People from the middle class are much more likely to see rules as things that can be shaped or changed or ignored to make their life more easy or rewarding. Having come from the working class, even a particularly radical end of it, I can still see aspects of this deference in my own character and this was perhaps the most challenging part of the book for me.The other challenging bit was the part about the Hatfields and McCoys. As a Northern Irish boy, even if I’m not as obsessed with ‘honour’ as I might have been, this does make sense of things I have wondered about for a long time. The solution might be a little too neat, but the Irish, particularly the Northern Irish, are far too likely to feuds that are intractable and recognising that that might have cultural roots beyond the excuse of religion is utterly fascinating to me.The lessons of this book can be put into a brief sentence: success depends on a series of cultural and other factors that are mostly beyond your control – however, the thing that is totally within your control about success is how much effort you put in. And the more effort you put in the more likely you will be successful. They are directly proportional and we should all praise work as the key thing that really makes us human.I loved this book. I noticed that Ginnie points to a pilot who disputes some of what Gladwell says about culture and plane crashes, but this is a minor point. His bigger point about culture and plane crashes still stands and is remarkable. If you have kids, read this book – it will give you hints on how to bring them up with perhaps a modest sense of entitlement – it could make all of the difference. Ginnie also has a link to an article with a photo of the man himself – I was saying to the kids yesterday that I would give a couple of toes to look nearly as cool as he does, but I think it would take more than just toes.Look, what can I say? Read this book, it is life altering. Well, maybe not life altering, but a delight nonetheless.",Outliers: by Malcolm Gladwell | The Story of Success | Summary & Takeaways,Malcolm Gladwell,5.0,0.052,0.798,0.15,0.9994,Positive,Somewhat Helpful,0.3285572826862335
"Didn't exactly read this book - Joe and I listened to it in the car on the way home from visiting family for Christmas. I really enjoyed it, and was very fascinated by certain parts of it, especially the sections about the Beatles, computer programmers and Korean co-pilots.But my enjoyment of the book was marred by the glaring absence of any well-known female ""outliers."" By chapter four or so, I noticed it and mentioned it to Joe, and then it just kept getting worse to the point that it was comical and distracting. Man after man after high-achieving man was featured. Any time a woman was mentioned, it seemed she was a wife or mother helping to boost a high achiever to success - or, in one case toward the end of the book, a somewhat slow female math student that a male professor had videotaped trying to figure out a math problem. By the time we got to that vignette, it was so ridiculous that Joe and I both started laughing, and Joe joked that ""the only woman in the book is dumb - but persistent.""When we got home, I Googled ""Gladwell Outliers sexist"" or something like that and found that several female bloggers and columnists also were ticked off about it and had taken Gladwell to task for it. Gladwell doesn't strike me as a raging sexist, so my guess is that he is so used to being a male in this world and constantly hearing about and identifying with male high achievers that maybe he didn't even realize what he was doing. I noticed that he gave a pretty weak response when questioned in an interview about his omission of women - he claimed that he had not omitted women because he mentioned his grandmother's story at the end of the book, in the epilogue, I think. Um, okay.",Outliers: by Malcolm Gladwell | The Story of Success | Summary & Takeaways,Malcolm Gladwell,4.0,0.073,0.836,0.091,0.4514,Positive,Somewhat Harmful,0.6953698396682739
"The Banality of Neoliberalism...1) Sloppy methodology: --Let's take a gentle start. Even a lottery has real people winning it. If your methodology is to only examine the winners (and bypass the structure of the lottery system), then you can surely come up with some highly entertaining (and biased) results!--The whole point of study designs/methodologies and statistics is to analyze the chaotic noise of the real world without getting distracted by certain human heuristics/biases (this does not mean we can avoid morals/politics, more later); see Ben Goldacre:-I Think You'll Find It's a Bit More Complicated Than That-Bad Science: Quacks, Hacks, and Big Pharma Flacks...In fact, Goldacre has a couple words on Gladwell: On my left shoulder there is an angel. She says it's risky to extrapolate from rarefied laboratory conditions to the real world. She says that publication bias in this field [psychology] is extensive, so whenever researches get negative findings, they're probably left unpublished in a desk drawer. And she says it's uncommon to see a genuinely systematic review of the literature on these topics, so you rarely get to see all the conflicting research in one place. My angel has read the books of Malcolm Gladwell, and she finds them to be silly and overstated.--Here's a revealing interview of Gladwell as a salesperson rather than a serious social theorist, study design be damned (emphases added; source: https://www.avclub.com/malcolm-gladwe... ): The A.V. Club: Your books all focus on singularities—in The Tipping Point, singular events, in Blink, singular moments, and in Outliers, singular people. Was there a single instance in your life that made you start seeing the world in terms of single points?Malcolm Gladwell: I just think I'm attracted to those kinds of singular things because they always make the best stories. I'm in the storytelling business, and so you're always drawn to the unusual. And early on, I discovered that's the easiest way to tell stories, so I've stuck with it ever since. And if you come up through a newspaper as I did, your whole goal is to get a story on the front page, and you only get something on the front page if it's unusual, so you're quickly weaned off the notion that you should be interested in the mundane. ...My definition of ""mundane"" (banality) features salespeople (con artists?) pretending to popularize social theory while actually just selling quirky stories that conveniently re-enforce status quo myths. 2) A First-World, Middle-Class Fantasy:--""John Steinbeck once said that socialism never took root in America because the poor see themselves not as an exploited proletariat but as temporarily embarrassed millionaires."" -Ronald Wright--Onto morals/politics: the real-world lottery system, with its violent conquests, inherited wealth, abstract contradictions and social struggles are whitewashed into a bland, apolitical marketplace composed of competitive automatons each trying to maximize their personal gains/utility, culminating in a meritocracy. --On this edifice, we see the heaps of First-World glossy-covered self-help (The 4-Hour Workweek), pop-psy, pop-econ (Freakonomics), and business books to make the target audience feel more professional/self-accomplished. --Of course, this system (capitalism, state capitalism, neoliberalism, whatever you want to call it) has to work for some given its ceaseless mobilization of wage labour generating tremendous surpluses to extract from. The question is to what degree competition and meritocracy exist (not to mention the perverse consequences, let alone alternatives). --Gladwell's storytelling features some highly political figures (Gates/Skadden/Oppenheimer); we have firmly stepped outside of cute marketing gimmicks and quirky entertainment/sports stats...--Sterilizing the politics from the story requires limiting the scope of analysis to make meritocracy (""10,000-Hour Rule"" to gain world-class expertise) more plausible. This requires skimming off undeserving peoples, usually starting with a national/colonial bias (by assuming the US/First World) and then certain classes/social groups. --However, the system of capitalism is global; that was the whole point of colonialism, the slave market, the ""coolie"" market that replaced slavery, and today's transnational corporations and institutions (World Trade Organization, World Bank, IMF) backed by the US military to maintain capitalism's imperialism. Many poor countries are perfectly embedded into global capitalism, being the most ""open for business"" for transnational corporations their resources, dump their pollution, and (crucially) prevent alternatives (""Red Scare"", ""War on Terror"", etc.): The Divide: A Brief Guide to Global Inequality and its Solutions...Global capitalism features social dislocation, be it:i) Booms of financial speculation/gentrification (And the Weak Suffer What They Must? Europe's Crisis and America's Economic Future) and jobless growth (Capitalism: A Ghost Story), or ii) Busts leaving behind rust belts and mega slums (Planet of Slums). ...Thus, there's always enough dispossessed poor people to exploit (tens of millions of preventable deaths each year under global capitalism is somehow normalized), just as there's always enough environment to exploit (well, until that collapses: Facing the Anthropocene: Fossil Capitalism and the Crisis of the Earth System).--Curiously, the US (in particular the book's ""middle class"" target audience) is more and more experiencing the spatial (global) and temporal (boom/bust cycles) nature of capitalism that have ravaged the Global South. --The most destructive war in human history (WWII) was the ""creative destruction"" that saved global capitalism from the endless Great Depression, with the US as chief creditor/arms dealer. The post-WWII boom built the US ""middle class"" with the US as the factory of the world; this lasted only decades before it collapsed under contradictions (Super Imperialism: The Origin and Fundamentals of U.S. World Dominance). --The US's next ""creative destruction"" was to smash its unions and factories (outsourcing) to unleash Wall Street's Finance Capitalism, resulting in the past 40+ years of global booms/busts while parts of the US were left with Rust Belt deindustrialization, opioid crises, precarious work, mass homelessness and uninsured, etc. --Without a clear understanding of the profit-seeking spatial/temporal logic and disruptions of global capitalism (indeed abstract, where long-term power hides), those disillusioned with the status quo are susceptible to scapegoating, symptomatic explanations targeting the visibly-different and vulnerable. Hence, ""global Trumpism"" repeating the history of fascism which arose during the Great Depression. Vijay Prashad elaborates:-https://youtu.be/z11ohWnuwa0-https://youtu.be/ZhkA3LVpbxg--Accessible resources capitalism's abstract contradictions:-Talking to My Daughter About the Economy: or, How Capitalism Works—and How It Fails-Another Now: Dispatches from an Alternative Present (including alternatives!)-Bad Samaritans: The Myth of Free Trade and the Secret History of Capitalism-Bullshit Jobs: A Theory--On a more positive(?) note, search up ""Malcolm Gladwell Book Generator"" and look at all the fashionable book covers and subtitles:-My Retirement: What Super-Trendy Book Buyers Like Yourself Are Paying For-Subtitles: How Secondary Titles Inflate a Sense of Importance-Vague: The Power of Generalization to Impress the Bored...and my favorite:-Nothing: What Sandcastles Can Teach Us About North Korean Economic Policy",Outliers: by Malcolm Gladwell | The Story of Success | Summary & Takeaways,Malcolm Gladwell,1.0,0.119,0.799,0.082,-0.9952,Negative,Somewhat Harmful,0.3893468677997589
"Occasionally insightful, but Gladwell's science is pretty junky. His reasons for success change by the page. And he cherry-picks examples to exactly fit the scheme under consideration. Plus, he's obsessed with callbacks and summary statements that only showcase the faulty connections between ideas.",Outliers: by Malcolm Gladwell | The Story of Success | Summary & Takeaways,Malcolm Gladwell,2.0,0.09,0.683,0.227,0.8625,Positive,Somewhat Helpful,0.892650306224823
"Malcolm Gladwell's new book reads like a series of cocktail-party anecdotes. Whether the book is a mere fluff piece or something more is open to debate. At its heart, it has two themes: (1) That success depends not just on talent but opportunity, and (2) that success (and failure) also depend on the cultural legacies we inherit from our forebears. Boiled down, here are his essential ideas:OPPORTUNITY1. Luck matters. Hockey players who happened to be born between January and March were disproportionately represented in professional hockey leagues. From an early age, these players were the oldest in their age bracket, and therefore bigger and more coordinated. Coaches selected them for better training and playing opportunities, and overtime, success bred success. Likewise, students who happened to be older for their class scored higher on math and science tests than their younger classmates, and were more likely to be picked for ""gifted"" and other advanced programs. 2. Even smart people need 10,000 hours of practice before they master a skill. Those that can get those 10,000 hours during childhood are a step ahead. Bill Gates, Steve Jobs, and The Beatles all had unique opportunities to have lots and lots of practice in their specialties at an early age before becoming successful.3. After 120, increases in IQ are less important than creativity and ""practical intelligence"" -- knowing what to say to whom, knowing when to say it, and knowing how to say it for maximum effect. A lifelong study of geniuses showed they were no more successful than the average population. Nobel laureates are just as likely to come from City College of NY, Augsburg College, or Gettysburg College as they are from Harvard.LEGACY4. Rural Americans in backcountry states -- Kentucky, Tennessee, North & South Carolina -- inherited a ""culture of honor"" from their Scotch-Irish forefathers. These herdsmen warriors brought with them a willingness to fight in response to the smallest slight. This led to a pattern of bloody and violent feuds between families across the Appalachian states. (Think Hatfields vs. McCoys.)5. Korean Airlines had an unusually high rate of plane crashes because of the Korean culture's extreme deference to superiors. Junior pilots were reluctant to directly contradict their Captain on a flight, even in the face of grave error. This explains, for instance, the Korean Air Flight 801 crash in Guam in 1997. When the airline hired a specialist from Delta to retrain the pilots to speak more transparently, their safety record went up dramatically.6. Asians are good at math and science because their ancestors planted rice paddies. Rice farming was more labor intensive than Western agriculture. Asians have inherited this stick-with-it-ness that allows them to excel in math and science, where perseverance is mandatory.7. Unlike rice paddies, wheat or corn fields need to be left fallow every few years. Early American educators adopted this principle toward schooling - that students must not be exhausted. Hence, the long summer vacation, a distinctly American legacy. But this legacy is counterproductive, because kids tend to forget things over the summer. Kids who go to schools with shorter summer breaks tend to have higher test scores.This entire review has been hidden because of spoilers.Show full review",Outliers: by Malcolm Gladwell | The Story of Success | Summary & Takeaways,Malcolm Gladwell,3.0,0.064,0.795,0.141,0.9936,Positive,Somewhat Harmful,0.35502889752388
"I can save you the trouble of reading the book: smart people don't automatically become successful, they do so because they got lucky. This rule applies to everyone including the likes of Bill Gates and Robert Oppenheimer. That's it. That's what the whole book is about. Gladwell looks at case after case of this: Canadian hockey players, Korean airline pilots, poor kids in the Bronx, Jewish lawyers, etc... Even with all this evidence it feels like he's pulling in examples that fit his theory and ignoring others. Thus while we look at many examples of geniuses who got lucky we do not look at Einstein which seems strange as he's the best known genius of the 20th century. While the book can be summarized in one sentence, the individual chapters are interesting such as the chapter that discusses a plane crash that happened in New York because the pilots were too subservient to make it clear to the air traffic controllers that they were almost out of gas. In short, the parts of this book were more interesting then the whole.",Outliers: by Malcolm Gladwell | The Story of Success | Summary & Takeaways,Malcolm Gladwell,3.0,0.077,0.767,0.156,0.9406,Positive,Somewhat Helpful,0.6042363047599792
"Malcolm Gladwell writes very interesting and entertaining books. J.R.R. Tolkein writes very interesting and entertaining books as well. However, after reading Tolkein, I did not venture out into the world in search of hobbits, dwarves and elves to be my new friends, or worry about being attacked by trolls. Tolkein's books, while entertaining, have little connection to reality. Unfortunately, the same can be said about Gladwell. ""Outliers"" is a series of well-written and interesting essays along the lines of New Yorker or Vanity Fair  articles. However, their connection with reality is highly, highly dubious.This book is a big disappointment after ""The Tipping Point"" and ""Blink"", both interesting books that don't have the reader arguing with the author the entire way through. One main problem is that there isn't really an identifiable thesis in the book. It seems like Gladwell wants to say that the myth of the ""self-made"" person is not true, since every successful person has had help and lucky breaks along the way. Well, duh! But then he goes on to say that successful people spend 10,000 hours on their chosen area of success. Do they get any credit for that? Does working on something for 10,000 hours when you could be goofing off make you a bit ""self-made""? In my book it certainly does.Take Bill Gates. Yes, he came from a rich family, had some breaks and some unique opportunities. But what about his former classmates who are now meth addicts or bitter failures who had similar opportunities, but didn't sieze them? Or those who simply were too lazy to put in 10,000 hours in front of the computer? Is Gates ""lucky"" that he had the drive to do that? So either the main thesis falls apart -- that if you are privileged and lucky you will be successful, or it becomes something completely prosaic, such as ""Gates worked hard, but he had some unique breaks"". Again, duh! That's life. Every person can identify positives and negatives in their own lives. It is the choice to overcome the negatives and to capitalize on the positives that makes the difference. If Gates hadn't found the computer lab Gladwell discusses, would he have just given up, or would he have kept on looking? I think that he would have kept looking until he found a similar opportunity.The science is also incredibly flimsy. He asserts - ""Successful hockey players are almost all born in January - March"". Well, wouldn't that apply to all athletes? Wouldn't somebody before Gladwell have figured that out? Where is the data from the NBA, NHL, NFL and MLB? It really is an example of inductive reasoning, not good science. Gladwell is made aware of a pattern with *certain* hockey teams in Canada, and then assumes that this small sample proves that if you are born in April or after, you won't become a good athlete. Maybe so, but Gladwell needs more data to prove his point.Another assertion is: ""Asians are good at math because their ancestors were rice farmers - They come from a patient, hard-working culture"". But perhaps there are other reasons that could explain the same thing: religious traditions, government, how education is structured. Hey, maybe Asians have a high tolerance for their own body odor and can spend more hours in the field than Europeans! I'm not seriously arguing that, but it is an example of Gladwell making a connection between two things that is far from proven.The book is best read as a series of colorful essays on some interesting topics. However, as a guide or explanation of success, it is an example of truly sloppy science and shoddy reasoning. True, successful people don't get there on their own. But everyone can review their lives and identify lucky breaks as well as unfair disadvantages. In the end, Gladwell doesn't explain success at all in a convincing fashion, and risks leaving the reader with the impression that fatalism is the only attitude to have towards their own success. Nothing could be further from the truth.",Outliers: by Malcolm Gladwell | The Story of Success | Summary & Takeaways,Malcolm Gladwell,1.0,0.067,0.744,0.189,0.9986,Positive,Somewhat Harmful,0.4148155152797699
"Outliers : the story of success, Malcolm Gladwell Outliers has been described as a form of autobiography, as Gladwell mixes in elements from his own life into the book to give it a more personal touch. Malcolm Gladwell takes us on an intellectual journey through the world of ""outliers""--the best and the brightest, the most famous and the most successful. He asks the question: what makes high-achievers different? His answer is that we pay too much attention to what successful people are like, and too little attention to where they are from: that is, their culture, their family, their generation, and the idiosyncratic experiences of their upbringing. Along the way he explains the secrets of software billionaires, what it takes to be a great soccer player, why Asians are good at math, and what made the Beatles the greatest rock band.عنوانهای چاپ شده در ایران: «تافته های جدا بافته: داستان موفقیت»؛ «نخبگان چگونه نخبه میشوند»؛ «استثنایی ها: داستان موفقیت»؛ «قصه آدمهای استثنایی: توفیق از نگاهی دیگر»؛ تاریخ نخستین خوانش: پانزدهم ماه سپتامبر سال2010میلادیعنوان: تافته های جدا بافته: داستان موفقیت؛ نویسنده: مالکوم گلدول؛ مترجم: میترا معتضد؛ تهران، نشر البرز، سال1388؛ چاپ دوم سال1389؛ در325ص؛ شابک9789644426797؛ موضوع: مهارتای کلیدی در کسب و کار و زندگی - موفقیت - مردمان موفق از نویسندگان بریتانیا - سده21معنوان: نخبگان چگونه نخبه میشوند؛ نویسنده: مالکوم گلدول؛ مترجم: فرناز عسکری؛ فائزه عسکری؛ تهران، نشر سبزان، سال1389؛ در160ص؛ شابک9786005033984؛ چاپ دوم سال1389؛ چاپ سوم سال1393؛ عنوان: استثنایی ها: داستان موفقیت؛ نویسنده: مالکوم گلدول؛ مترجم: محمدعلی سروری؛ تهران، نشر جمهوری، سال1389؛ در328ص؛ شابک9786005687170؛ عنوان: تافته جدا بافته: داستان موفقیت؛ نویسنده: مالکوم گلدول؛ مترجم: سپیده علی کاشانی؛ تهران، نشر آنیسا، سال1393؛ در251ص؛ شابک9786009481408؛ عنوان: قصه آدمهای استثنایی: توفیق از نگاهی دیگر؛ نویسنده: مالکوم گلدول؛ مترجم: شهرزاد بیات موحد؛ کرج، نشر دُرَ دانش بهمن، سال1393؛ در305ص؛ شابک9789641740698؛بررسی زندگی غولهای تجارت، نابغه های علمی، ستارگان ورزشی، و موسیقیدانها؛ و اینکه آنها چه وجوه اشتراکی با هم دارند؛ به فراسوی نتایج چشمگیر، اسطوره ها و افسانه ها مینگرد، تا معلوم کند چه توضیح درستی برای اشخاص بسیار موفق وجود دارد؛ به پرسشهای زیر پاسخ میدهدضریب هوشی شما چه ربطی با میزان حقوقتان دارد؟ یک زبانشناس دربارة ایمنی خطوط هوایی چه چیزهایی میتواند به ما بگوید؟ طرز صحبت فرزند شما با یک بزرگسال چگونه بر موفقیت آنها در زندگی تاثیر میگذارد؟ شالیزارها چه ربطی به تبحر ریاضی دارند؟ و شما چگونه میتوانید یک فرد با استعداد و درخشان در ریاضی را بدون گرفتن آزمون شناسایی کنید؟ عنوانهای مطالب کتاب: «مقدمه: راز رزه‌تو»؛ «فصل اول: اثر متیو»؛ «فصل دوم: قانون10000ثانیه»؛ «فصل سوم: مشکل نابغه‌ها، قسمت اول»؛ «فصل چهارم:مشکل نابغه‌ها، قسمت دوم»؛ «فصل پنجم: سه درس از جو فلوم»؛ «فصل ششم: هارلن، کنتاکی»؛ «فصل هفتم: نظریه‌ قومی سقوط هواپیماها»؛ «فصل هشتم: شالیزارهای برنج و آزمون‌های ریاضی»؛ «فصل نهم: معامله ماریتا»؛ «فصل دهم: سخن آخر، یک داستان جامائیکایی»؛تاریخ بهنگام رسانی 13/06/1399هجری خورشیدی؛ 20/02/1401هجری خورشیدی؛ ا. شربیانی",Outliers: by Malcolm Gladwell | The Story of Success | Summary & Takeaways,Malcolm Gladwell,4.0,0.003,0.92,0.077,0.9896,Positive,Somewhat Helpful,0.4381921589374542
